date,sector,above_50sma,above_200sma,new_52w_high,new_52w_low
2024-08-30,Consumer Staples,75.0,,,
2024-08-30,Energy,50.0,,,
2024-08-30,Financials,93.42105263157895,,,
2024-08-30,Health Care,81.66666666666667,,,
2024-08-30,Industrials,89.87341772151899,,,
2024-08-30,Information Technology,66.66666666666666,,,
2024-08-30,Materials,76.92307692307693,,,
2024-08-30,Real Estate,100.0,,,
2024-08-30,Utilities,93.54838709677419,,,
2024-09-06,Communication Services,52.17391304347826,,,
2024-09-06,Consumer Discretionary,54.166666666666664,,,
2024-09-06,Consumer Staples,77.77777777777779,,,
2024-09-06,Energy,18.181818181818183,,,
2024-09-06,Financials,73.68421052631578,,,
2024-09-06,Health Care,63.33333333333333,,,
2024-09-06,Industrials,48.10126582278481,,,
2024-09-06,Information Technology,34.78260869565217,,,
2024-09-06,Materials,53.84615384615385,,,
2024-09-06,Real Estate,90.32258064516128,,,
2024-09-06,Utilities,83.87096774193549,,,
2024-09-13,Communication Services,69.56521739130434,,,
2024-09-13,Consumer Discretionary,83.33333333333334,,,
2024-09-13,Consumer Staples,83.33333333333334,,,
2024-09-13,Energy,18.181818181818183,,,
2024-09-13,Financials,75.0,,,
2024-09-13,Health Care,76.66666666666667,,,
2024-09-13,Industrials,70.88607594936708,,,
2024-09-13,Information Technology,57.971014492753625,,,
2024-09-13,Materials,65.38461538461539,,,
2024-09-13,Real Estate,100.0,,,
2024-09-13,Utilities,100.0,,,
2024-09-20,Communication Services,65.21739130434783,,,
2024-09-20,Consumer Discretionary,81.25,,,
2024-09-20,Consumer Staples,72.22222222222221,,,
2024-09-20,Energy,45.45454545454545,,,
2024-09-20,Financials,90.78947368421053,,,
2024-09-20,Health Care,75.0,,,
2024-09-20,Industrials,82.27848101265823,,,
2024-09-20,Information Technology,71.01449275362319,,,
2024-09-20,Materials,73.07692307692307,,,
2024-09-20,Real Estate,100.0,,,
2024-09-20,Utilities,100.0,,,
2024-09-27,Communication Services,82.6086956521739,,,
2024-09-27,Consumer Discretionary,97.91666666666666,,,
2024-09-27,Consumer Staples,75.0,,,
2024-09-27,Energy,40.909090909090914,,,
2024-09-27,Financials,85.52631578947368,,,
2024-09-27,Health Care,65.0,,,
2024-09-27,Industrials,89.87341772151899,,,
2024-09-27,Information Technology,88.40579710144928,,,
2024-09-27,Materials,96.15384615384616,,,
2024-09-27,Real Estate,93.54838709677419,,,
2024-09-27,Utilities,100.0,,,
2024-10-04,Communication Services,73.91304347826086,,,
2024-10-04,Consumer Discretionary,85.41666666666666,,,
2024-10-04,Consumer Staples,44.44444444444444,,,
